1. Pozisyon;1. Kuvvet;2. Pozisyon;2. Kuvvet;3. Pozisyon;3. Kuvvet;4. Pozisyon;4. Kuvvet;5. Pozisyon;5. Kuvvet;6. Pozisyon;6. Kuvvet;7. Pozisyon;7. Kuvvet;8. Pozisyon;8. Kuvvet;9. Pozisyon;9. Kuvvet;10. Pozisyon;10. Kuvvet;11. Pozisyon;11. Kuvvet;12. Pozisyon;12. Kuvvet
0;0;0;0;303,25712;3697,745605;303,25712;3645,620605;0;0;303,506868;3606,598633;303,506449;3586,624512;0;0;303,757494;3575,858887;303,757684;3561,939453;303,757379;3551,181152;303,757417;3541,807617
0;0;0;0;303,506563;3717,466309;303,506563;3664,383301;0;0;303,757494;3627,913086;303,757684;3607,192383;0;0;304,007662;3596,297852;304,007356;3583,582031;304,007852;3572,892578;304,007623;3563,759277
0;0;0;0;303,757379;3740,371094;303,757608;3687,41748;0;0;304,007585;3647,879395;304,007166;3627,709473;0;0;304,256227;3616,461426;304,256418;3602,541992;304,256304;3591,614258;304,256189;3582,140625
0;0;0;0;304,007471;3760,424805;304,00728;3706,543457;0;0;304,256151;3669,437012;304,256304;3648,400391;0;0;304,50754;3637,328613;304,507692;3624,425293;304,507654;3613,588379;304,507578;3604,293945
0;0;0;0;304,256113;3783,713867;304,25638;3729,861328;0;0;304,507654;3689,628418;304,507692;3669,074707;0;0;304,757517;3658,028809;304,757288;3643,768066;304,757288;3632,69043;304,757669;3623,113281
0;0;0;0;304,507616;3804,049316;304,507616;3749,258789;0;0;304,757402;3711,666992;304,75744;3690,330078;0;0;305,006655;3679,04834;305,006845;3665,931152;305,006655;3655,126465;305,006693;3645,563965
0;0;0;0;304,757479;3827,96875;304,757173;3772,975586;0;0;305,006807;3732,181641;305,006769;3711,269531;0;0;305,257128;3699,958496;305,25728;3685,535645;305,257433;3674,280762;305,257166;3664,48584
0;0;0;0;305,006731;3848,435059;305,006769;3792,70459;0;0;305,257166;3754,397949;305,257204;3732,694824;0;0;305,506761;3721,375977;305,506685;3708,049316;305,506723;3696,952148;305,506647;3687,304687
0;0;0;0;305,257089;3872,362793;305,256975;3816,87793;0;0;305,506685;3775,289062;305,506571;3754,170898;0;0;305,757463;3742,619629;305,757501;3727,949219;305,75754;3716,743164;305,75754;3706,767578
0;0;0;0;305,506685;3893,415527;305,506761;3836,771484;0;0;305,75754;3797,804199;305,75773;3775,820801;0;0;306,007326;3764,354004;306,007364;3750,773437;306,007555;3739,497559;306,007326;3729,787109
0;0;0;0;305,757425;3917,929687;305,757501;3861,098633;0;0;306,00725;3819,095703;306,00725;3797,635742;0;0;306,256159;3785,864258;306,256006;3770,988281;306,255663;3759,606934;306,25593;3749,539062
0;0;0;0;306,007288;3939,197754;306,007135;3881,727051;0;0;306,255968;3842,143066;306,256044;3819,591309;0;0;306,507318;3807,843262;306,507585;3794,129883;306,50728;3782,574707;306,507356;3772,809082
0;0;0;0;306,255777;3964,041992;306,256006;3906,224609;0;0;306,507395;3863,505859;306,507204;3841,650879;0;0;306,75699;3829,82959;306,756799;3814,724121;306,757219;3803,160645;306,757067;3792,971191
0;0;0;0;306,507318;3985,601562;306,507242;3927,152832;0;0;306,757105;3886,978027;306,757067;3864,300293;0;0;307,006471;3852,165527;307,006586;3838,160156;307,006128;3826,525879;307,006433;3816,695312
0;0;0;0;306,757067;4010,923828;306,756876;3952,310059;0;0;307,00651;3908,664062;307,006319;3886,493164;0;0;307,256944;3874,414062;307,256944;3859,016602;307,257364;3847,329102;307,256792;3836,97998
0;0;0;0;307,00609;4032,870117;307,006624;3973,406738;0;0;307,256754;3932,449219;307,256983;3909,149414;0;0;307,506578;3897,36084;307,50654;3883,073242;307,506387;3871,09082;307,506311;3861,124023
0;0;0;0;307,256983;4058,507812;307,256906;3998,673828;0;0;307,506464;3954,539551;307,506426;3932,030762;0;0;307,757166;3919,732422;307,757356;3904,098633;307,756975;3892,237305;307,757585;3881,750488
0;0;0;0;307,506655;4081,109375;307,506235;4020,36084;0;0;307,757433;3978,687012;307,757433;3955,265625;0;0;308,007334;3943,021484;308,007372;3928,36377;308,007486;3916,562012;308,007295;3906,128906
0;0;0;0;307,75728;4106,958984;307,757128;4046,003418;0;0;308,007334;4001,217285;308,007181;3978,286621;0;0;308,255937;3965,796387;308,25609;3950,116211;308,255976;3937,907715;308,256128;3927,255371
0;0;0;0;308,007105;4129,775879;308,007143;4068,144531;0;0;308,25609;4025,712891;308,255861;4001,895508;0;0;308,507402;3989,435547;308,507326;3974,660156;308,507364;3962,496094;308,507211;3952,069336
0;0;0;0;308,255747;4156,183594;308,256052;4094,183594;0;0;308,50725;4048,548828;308,507288;4025,358398;0;0;308,756845;4012,891602;308,757189;3996,711914;308,75715;3984,350098;308,757265;3973,45459
0;0;0;0;308,507326;4179,535156;308,507326;4116,676758;0;0;308,756807;4073,532715;308,757227;4049,078125;0;0;309,006403;4036,647949;309,006441;4021,656738;309,006326;4009,319824;309,006555;3998,712402
0;0;0;0;308,757074;4206,322266;308,756998;4143,375;0;0;309,006517;4096,799316;309,006365;4073,112793;0;0;309,256838;4060,432129;309,256914;4043,865234;309,257143;4031,652344;309,256838;4020,470215
0;0;0;0;309,006212;4230,188477;309,006555;4166,085937;0;0;309,256838;4122,121582;309,256914;4097,493652;0;0;309,506357;4084,682129;309,50651;4069,512695;309,506586;4056,967773;309,506548;4046,141113
0;0;0;0;309,256914;4257,300293;309,256723;4193,455078;0;0;309,506548;4146,046387;309,506433;4121,769531;0;0;309,757402;4108,678711;309,75725;4092,123535;309,757479;4079,574707;309,757479;4068,347168
